"curve_x","curve_y","curve_z"
2.52051270162929,1.90229260368871,6.13583958934365
2.35007889720813,1.94589140314339,5.99180986755044
2.17964509278697,1.98949020259807,5.84778014575723
2.00921128836582,2.03308900205275,5.70375042396403
1.83885485874959,2.07669212890931,5.55963054714234
1.66868110456426,2.12030572400475,5.41529831235069
1.49880293421296,2.16393725005716,5.27062378938083
1.32934584474943,2.2075970322051,5.12546463233864
1.16055553392314,2.25131595122174,4.97954826980733
0.992566687906064,2.29512738741338,4.83273806968865
0.825533491178271,2.33907309338213,4.68488268962555
0.659655218641185,2.38320617482717,4.535789722841
0.495152345557234,2.42758471276148,4.38525435004253
0.332272387274134,2.47226964163553,4.233055369099
0.171297231333204,2.51732334939651,4.07895094254339
0.0125486127823114,2.56280760072571,3.92267764584768
-0.143604783437378,2.60877944283648,3.76394890362532
-0.29666775619439,2.65530048261105,3.60239204987945
-0.446036854408305,2.70242574973417,3.43758692759167
-0.591323140368783,2.75014533028841,3.26934413917462
-0.731865248753245,2.79844315388097,3.09728526964755
-0.866869296442935,2.84728410904914,2.92100262854293
-0.995386350776667,2.89661946176494,2.74007503268338
-1.11628371213332,2.9463723920641,2.55408324535846
-1.22820471323394,2.9964334251388,2.36263359582159
-1.3289176083496,3.04666958999767,2.16511281240477
-1.41649893603881,3.09688414837162,1.96145894330914
-1.48899138082266,3.14681800177147,1.751944289951
-1.54401497046209,3.19611693787476,1.53708391950951
-1.57906922626071,3.24429965267191,1.31786266830943
-1.59166105446846,3.29073332994178,1.09582918155792
-1.577784550516,3.33435434968098,0.873315638226627
-1.53609829565111,3.37391094031173,0.653554324522747
-1.4697592187402,3.40850751304856,0.439119962596072
-1.38108614797688,3.43706202743702,0.231957520315866
-1.27291362172364,3.45856391817042,0.0333052170932626
-1.14775942067074,3.47184046752744,-0.15594271062291
-1.00770700299753,3.47531773864128,-0.334922230722281
-0.856398305455718,3.46878280320678,-0.504358002784901
-0.695764616645989,3.45121137367335,-0.664120587982146
-0.527560610313273,3.42150889986236,-0.813971072432541
-0.353450106726029,3.37854753424818,-0.95349515601718
-0.175083505538536,3.32121020091778,-1.08205164863546
0.00583721786174643,3.24847822450705,-1.19874117729341
0.187474485956564,3.15923445670644,-1.30215842520888
0.36751647595855,3.05167273481044,-1.38965038641891
0.54379459748896,2.92739050954052,-1.46093139252085
0.714186776376305,2.78717949832864,-1.51464163116786
0.876794101369634,2.63258431328586,-1.54976136263848
1.03015637107635,2.4658077281474,-1.56578541331343
1.173393095524,2.28946281999305,-1.56282892965868
1.30631470496346,2.10632279858187,-1.54159453322208
1.42884511215097,1.91892756513329,-1.50233187536936
1.54283375906828,1.72989359272906,-1.4481234655584
1.64949312295859,1.54086217203228,-1.38061621088373
1.75009675989199,1.3530686844572,-1.30135406083442
1.84590512697384,1.16742165805349,-1.21174204190326
1.93809761590685,0.984584761540424,-1.11300060925517
2.0277662967946,0.805046582048959,-1.00619215328522
2.11590894909777,0.629172861127864,-0.892240023396988
2.20343346050416,0.45725203634569,-0.771942709679006
2.2911668256765,0.289517005230538,-0.646008590357176
2.37992160525726,0.126310628518505,-0.514938511905652
2.47050799893985,-0.0321284274649805,-0.379354881340435
2.56360195486598,-0.185749826647366,-0.239988048262761
2.65988496267966,-0.334345205490702,-0.0973849214489775
2.76003593576817,-0.477681623337968,0.0479031893984411
2.86473958088999,-0.615494123070596,0.195302248936876
2.9746755798537,-0.747474928763564,0.344211928837574
3.09052554968597,-0.873264128728569,0.493985123537291
3.21298110702479,-0.992445929521814,0.643897042434486
3.34273974010685,-1.10453551156171,0.793124993932813
3.48048189668833,-1.20896927014283,0.940734591458084
3.62682578686361,-1.30510820664183,1.08567452722071
3.78228311586207,-1.39224130266067,1.22677508575572
3.94720191118439,-1.46959379541162,1.36276658943387
4.12248284308655,-1.53540538435611,1.49166862556395
4.30729946983711,-1.58947308455082,1.61238072351839
4.50095116681695,-1.63127944248516,1.72367378101235
4.70256941937977,-1.66033187251558,1.82433787758367
4.91103332546858,-1.67634271910072,1.91332522966547
5.12503444569548,-1.67925076076754,1.98979068353979
5.34341362877132,-1.66793637149197,2.05173952496327
5.5641784872374,-1.64409302539816,2.10010586476831
5.78586979726515,-1.60883226599991,2.13545557956015
6.00730287168884,-1.56307621080765,2.15826594360224
6.22750609064963,-1.50785057748254,2.1692242010209
6.44574295140374,-1.44422880770491,2.16916686230436
6.66130186609391,-1.37282144158135,2.158346435224
6.874013829803,-1.29513942101807,2.13835523367479
7.08382781446158,-1.21224794971118,2.11030941122566
7.29076773437131,-1.12498341900661,2.07507936320478
7.49495491206991,-1.03410426923633,2.03347633062216
7.69659318736302,-0.940311302617832,1.98626122721524
7.89593788094214,-0.844235925881251,1.9341312842752
8.09327006606871,-0.746434216456344,1.87771427312204
8.28889119368764,-0.647403420196138,1.81759156814362
8.48310629311973,-0.547584778596167,1.75428829640959
8.67621164070482,-0.447362918752268,1.68827842584578
8.86849018486601,-0.347071330343442,1.61999544964999
9.06020993558986,-0.247002431007529,1.54983736526018
9.2516189864204,-0.147413359535007,1.47816249722655
9.44294371219534,-0.0485285845449868,1.40529654325776
9.63438606086941,0.049456125356314,1.33152892362187
9.82611739660746,0.146381406671156,1.25711473912355
10.0182757456585,0.242128937024542,1.18227795911782
10.2109692229544,0.336610325663742,1.10720746462193
10.4043301134739,0.42967296732741,1.03208084811836
10.5983820827424,0.521365960715743,0.957052986491104
10.7931470225113,0.61170129325244,0.882226869606724
10.9886243081887,0.700712696396549,0.807672926883572
